	PI			
A236BMaR61C05c	Ignore			
A237BMaR61C06a	Ignore			
A238BMaR61C06b	Ignore			
A239BMaR61C06c	Ignore			
A240BMaR61C07a	Ignore			
A241BMaR61C07b	Ignore			
A242BMaR61C07c	Ignore			
A243BMaR61C08a	Ignore			
A244BMaR61C08b	Ignore			
A245BMaR61C08c	Ignore			
A246BMaR61C09a	Ignore			
A247BMaR61C09b	Ignore			
A248BMaR61C09c	Ignore			
A249BMaR61C10a	Ignore			
A250BMaR61C10b	Ignore			
A251BMaR61C10c	Ignore			
A252BMaR61C12a	Ignore			
A253BMaR61C12b	Ignore			
A254BMaR61C12c	Ignore			
A255PMaR61C01a	Ignore			
A256PMaR61C01b	Ignore			
A257PMaR61C01c	Ignore			
A258PMaR61C04a	Ignore			
A259PMaR61C04b	Ignore			
A260PMaR61C04c	Ignore			
A261PMaR61C05a	Ignore			
A262PMaR61C05b	Ignore			
A263PMaR61C05c	Ignore			
A264PMaR61C06a	Ignore			
A265PMaR61C06b	Ignore			
A266PMaR61C06c	Ignore			
A267PMaR61C07a	Ignore			
A268PMaR61C07b	Ignore			
A269PMaR61C07c	Ignore			
A270PMaR61C08a	Ignore			
A271PMaR61C08b	Ignore			
A272PMaR61C08c	Ignore			
BPM0R1	Sicheng			
BPM0R2	Sicheng			
BPM0R3	Sicheng			
BPM0R4	Sicheng			
BPM1R1	Sicheng			
BPM1R2	Sicheng			
BPM1R3	Sicheng			
BPM1R4	Sicheng			
BPM2R1	Sicheng			
BPM2R2	Sicheng			
BPM2R3	Sicheng			
BPM2R4	Sicheng			
Comp-from-P8-7-10-26-17	Jared			
E1-1-ES-ISU	unknown			
E1-3-ES-ISU	unknown			
E18-2-EW-McM-1	unknown			
E18-2-EW-McM-2	unknown			
E3-3-ES-ISU	unknown			
E4-2-ES-ISU	unknown			
E5-2-ES-ISU	unknown			
E5-3-ES-ISU	unknown			
E7-2-ES-ISU	unknown			
LizA1	Bioreactor	corn_cob	10/17/18	2.88
LizA2	Bioreactor	corn_cob	10/22/18	2.89
LizA3	Bioreactor	wood_chip_liquid	10/22/18	46.8
LizB1	Bioreactor	corn_cob	10/17/18	10.3
LizB2	Bioreactor	wood_chip	10/22/18	3.42
LizB3	Bioreactor	wood_chip_liquid	10/22/18	24.2
LizC1	Bioreactor	corn_cob	10/17/18	5.05
LizC2	Bioreactor	wood_chip	10/22/18	3.1
LizC3	Bioreactor	tile_drainage	10/15/18	1.52
LizD1	Bioreactor	wood_chip	10/17/18	3.29
LizD2	Bioreactor	wood_chip	10/22/18	1.11
LizE1	Bioreactor	wood_chip	10/17/18	2.29
LizE2	Bioreactor	corn_cob_liquid	10/22/18	26.9
LizF1	Bioreactor	wood_chip	10/17/18	1.32
LizF2	Bioreactor	corn_cob_liquid	10/22/18	14.5
LizG1	Bioreactor	corn_cob	10/22/18	2.86
LizG2	Bioreactor	corn_cob_liquid	10/22/18	22.4
LizH1	Bioreactor	corn_cob	10/22/18	2.35
LizH2	Bioreactor	wood_chip_liquid	10/22/18	8.11
M1	Sicheng			
M2	Sicheng			
M3	Sicheng			
M4	Sicheng			
M5	Sicheng			
M6	Sicheng			
Mock10	Schuyler			
Mock11	Schuyler			
Mock1	Schuyler			
Mock2	Schuyler			
Mock3	Schuyler			
Mock4	Schuyler			
Mock5	Schuyler			
Mock6	Schuyler			
Mock7	Schuyler			
Mock8	Schuyler			
Mock9	Schuyler			
NBNE303-1-IS-MCM	unknown			
NBNE305-1-IS-MCM	unknown			
NBNE321-3-JS-MCM-1	unknown			
NBNE321-3-JS-MCM-2	unknown			
NBNE321-3-JS-MCM-3	unknown			
NTC1	unknown			
NTC3	unknown			
NTC4	unknown			
NTC5	unknown			
NTC6	unknown			
NTC7	unknown			
NTC8	unknown			
NTC9	unknown			
P1-1	Jared			
P1-2	Jared			
P1-3	Jared			
P1-4	Jared			
P1-5	Jared			
P1-6	Jared			
P1-s1-d1-b	Jared			
P1-s1-d1-t0	Jared			
P1-s1-d1-t14	Jared			
P1-s1-d1-t21	Jared			
P1-s1-d1-t2-2	Jared			
P1-s1-d1-t2	Jared			
P1-s1-d1-t42	Jared			
P1-s1-d2-b	Jared			
P1-s1-d2-t0	Jared			
P1-s1-d2-t14	Jared			
P1-s1-d2-t21	Jared			
P1-s1-d2-t42	Jared			
P1-s2-d1-b	Jared			
P1-s2-d1-t0	Jared			
P1-s2-d1-t14	Jared			
P1-s2-d1-t21	Jared			
P1-s2-d1-t2-2	Jared			
P1-s2-d1-t2	Jared			
P1-s2-d1-t42	Jared			
P1-s2-d2-b	Jared			
P1-s2-d2-t0	Jared			
P1-s2-d2-t14	Jared			
P1-s2-d2-t21	Jared			
P1-s2-d2-t42	Jared			
P1-s3-d1-b	Jared			
P1-s3-d1-t0	Jared			
P1-s3-d1-t14	Jared			
P1-s3-d1-t21	Jared			
P1-s3-d1-t2-2	Jared			
P1-s3-d1-t2	Jared			
P1-s3-d1-t42	Jared			
P1-s3-d2-b	Jared			
P1-s3-d2-t0	Jared			
P1-s3-d2-t14	Jared			
P1-s3-d2-t21	Jared			
P1-s3-d2-t42	Jared			
P1-s4-d1-b	Jared			
P1-s4-d1-t0	Jared			
P1-s4-d1-t14	Jared			
P1-s4-d1-t21	Jared			
P1-s4-d1-t2-2	Jared			
P1-s4-d1-t2	Jared			
P1-s4-d1-t42	Jared			
P1-s4-d2-b	Jared			
P1-s4-d2-t0	Jared			
P1-s4-d2-t14	Jared			
P1-s4-d2-t21	Jared			
P1-s4-d2-t42	Jared			
P1-s5-d1-b	Jared			
P1-s5-d1-t0	Jared			
P1-s5-d1-t14	Jared			
P1-s5-d1-t21	Jared			
P1-s5-d1-t2	Jared			
P1-s5-d1-t42	Jared			
P1-s5-d2-b	Jared			
P1-s5-d2-t0	Jared			
P1-s5-d2-t14	Jared			
P1-s5-d2-t21	Jared			
P1-s5-d2-t2	Jared			
P1-s5-d2-t42	Jared			
P1-s6-d1-b	Jared			
P1-s6-d1-t0	Jared			
P1-s6-d1-t14	Jared			
P1-s6-d1-t21	Jared			
P1-s6-d1-t2	Jared			
P1-s6-d1-t42	Jared			
P1-s6-d2-b	Jared			
P1-s6-d2-t0	Jared			
P1-s6-d2-t14	Jared			
P1-s6-d2-t21	Jared			
P1-s6-d2-t2	Jared			
P1-s6-d2-t42	Jared			
P1-s7-d1-b	Jared			
P1-s7-d1-t0	Jared			
P1-s7-d1-t14	Jared			
P1-s7-d1-t21	Jared			
P1-s7-d1-t2	Jared			
P1-s7-d1-t42	Jared			
P1-s7-d2-b	Jared			
P1-s7-d2-t0	Jared			
P1-s7-d2-t14	Jared			
P1-s7-d2-t21	Jared			
P1-s7-d2-t2	Jared			
P1-s7-d2-t42	Jared			
P1-s8-d1-b	Jared			
P1-s8-d1-t0	Jared			
P1-s8-d1-t14	Jared			
P1-s8-d1-t21	Jared			
P1-s8-d1-t2	Jared			
P1-s8-d1-t42	Jared			
P1-s8-d2-b	Jared			
P1-s8-d2-t0	Jared			
P1-s8-d2-t14	Jared			
P1-s8-d2-t21	Jared			
P1-s8-d2-t2	Jared			
P1-s8-d2-t42	Jared			
P1-s9-d1-b	Jared			
P1-s9-d1-t0	Jared			
P1-s9-d1-t14	Jared			
P1-s9-d1-t21	Jared			
P1-s9-d1-t2	Jared			
P1-s9-d1-t42	Jared			
P1-s9-d2-b	Jared			
P1-s9-d2-t0	Jared			
P1-s9-d2-t14	Jared			
P1-s9-d2-t21	Jared			
P1-s9-d2-t2	Jared			
P1-s9-d2-t42	Jared			
P1-Supply-Water-10-25-17	Jared			
P2-1	Jared			
P2-2	Jared			
P2-3	Jared			
P2-4	Jared			
P2-5	Jared			
P2-6	Jared			
P2-s1-d1-b	Jared			
P2-s1-d1-t0	Jared			
P2-s1-d1-t14	Jared			
P2-s1-d1-t21	Jared			
P2-s1-d1-t2	Jared			
P2-s1-d1-t42	Jared			
P2-s1-d2-b	Jared			
P2-s1-d2-t0	Jared			
P2-s1-d2-t14	Jared			
P2-s1-d2-t21	Jared			
P2-s1-d2-t2	Jared			
P2-s1-d2-t42	Jared			
P2-s2-d1-b	Jared			
P2-s2-d1-t0	Jared			
P2-s2-d1-t14	Jared			
P2-s2-d1-t21	Jared			
P2-s2-d1-t2	Jared			
P2-s2-d1-t42	Jared			
P2-s2-d2-b	Jared			
P2-s2-d2-t0	Jared			
P2-s2-d2-t14	Jared			
P2-s2-d2-t21	Jared			
P2-s2-d2-t2	Jared			
P2-s2-d2-t42	Jared			
P2-s3-d1-b	Jared			
P2-s3-d1-t0	Jared			
P2-s3-d1-t14	Jared			
P2-s3-d1-t21	Jared			
P2-s3-d1-t2	Jared			
P2-s3-d1-t42	Jared			
P2-s3-d2-b	Jared			
P2-s3-d2-t0	Jared			
