Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
0	0	16S old 1	B1_manure_a	-1	16.38748	81.1366		0.9999262	3172.28	0.7848821	1.921531	False	False	False	0.005816454										10	1926.002	1.400287	19.2316	5361.375	-2.94369	3.783681		
0	1	16S old 1	B1_manure_b	-1	16.13998	81.17487		0.9999273	1359.963	0.7789673	1.921543	False	False	False	0.005138311										5	1663.273	1.400275	18.98408	3969.376	-5.242608	3.386484		
0	2	16S old 1	B1_manure_c	-1	15.86684	81.08546		0.9999689	534.0024	0.7849618	1.934806	False	False	False	0.00503389										8	1628.178	1.386858	18.69327	3595.006	-1.984376	3.207993		
0	3	16S old 1	B2_manure_a	-1	16.29527	81.3643		0.999975	1304.958	0.7930316	1.932054	False	False	False	0.006181186										10	2045.577	1.389613	19.12533	5865.339	-6.587221	3.867327		
0	4	16S old 1	B2_manure_b	-1	15.87035	81.14484		0.9999722	733.6064	0.7878132	1.925262	False	False	False	0.0068147										7	1779.368	1.396476	18.70945	4487.023	-3.823011	3.521695		
0	5	16S old 1	B2_manure_c	-1	15.77767	81.12273		0.9999735	560.322	0.7930217	1.909436	False	False	False	0.00744939										8	1717.298	1.412843	18.63833	3993.593	-3.342106	3.325509		
0	6	16S old 1	P3_S5_a	-1	15.11428	81.56178		0.9999167	6260.932	0.7442539	1.882147	False	False	False	0.03267										11	3946.088	1.442368	18.01381	8671.175	-59.15298	3.19741		
0	7	16S old 1	P3_S5_b	-1	15.36061	81.58001		0.9999732	3019.098	0.7606812	1.904594	False	False	False	0.02394095										7	3896.285	1.417959	18.228	9163.043	-43.50752	3.351739		
0	8	16S old 1	P4_S9_a	-1	15.65643	81.5879		0.9999344	6899.786	0.7583525	1.928481	False	False	False	0.01568995										15	3912.853	1.393211	18.49123	9114.709	-42.84756	3.329428		
0	9	16S old 1	P4_S9_b	-1	15.54918	81.58231		0.9999332	6683.237	0.7560553	1.904958	False	False	False	0.02021401										11	3973.73	1.417573	18.41606	8865.164	-43.86479	3.230942		
0	10	16S old 1	P8_S2_a	-1	14.88583	81.5739		0.9999446	4539.109	0.7251744	1.896531	False	False	False	0.03333863										10	4542.667	1.426595	17.7646	8530.577	-48.24332	2.877878		
0	11	16S old 1	P8_S2_b	-1	14.95715	81.60295		0.9999609	2421.612	0.7309272	1.903119	False	False	False	0.02652054										15	4333.13	1.419528	17.82661	7542.337	-47.20925	2.740621		
0	12	aacC2	B1_manure_a													NoAmplification																	
0	13	aacC2	B1_manure_b													NoAmplification																	
0	14	aacC2	B1_manure_c													NoAmplification																	
0	15	aacC2	B2_manure_a													NoAmplification																	
0	16	aacC2	B2_manure_b													NoAmplification																	
0	17	aacC2	B2_manure_c													NoAmplification																	
0	18	aacC2	P3_S5_a													NoAmplification																	
0	19	aacC2	P3_S5_b													NoAmplification																	
0	20	aacC2	P4_S9_a													NoAmplification																	
0	21	aacC2	P4_S9_b													NoAmplification																	
0	22	aacC2	P8_S2_a													NoAmplification																	
0	23	aacC2	P8_S2_b													NoAmplification																	
0	24	ampC	B1_manure_a													NoAmplification																	
0	25	ampC	B1_manure_b													NoAmplification																	
0	26	ampC	B1_manure_c													NoAmplification																	
0	27	ampC	B2_manure_a													NoAmplification																	
0	28	ampC	B2_manure_b													NoAmplification																	
0	29	ampC	B2_manure_c													NoAmplification																	
0	30	ampC	P3_S5_a													NoAmplification																	
0	31	ampC	P3_S5_b													NoAmplification																	
0	32	ampC	P4_S9_a													NoAmplification																	
0	33	ampC	P4_S9_b													NoAmplification																	
0	34	ampC	P8_S2_a													NoAmplification																	
0	35	ampC	P8_S2_b													NoAmplification																	
0	36	blaOCH	B1_manure_a													NoAmplification																	
0	37	blaOCH	B1_manure_b													NoAmplification																	
0	38	blaOCH	B1_manure_c													NoAmplification																	
0	39	blaOCH	B2_manure_a													NoAmplification																	
0	40	blaOCH	B2_manure_b													NoAmplification																	
0	41	blaOCH	B2_manure_c													NoAmplification																	
0	42	blaOCH	P3_S5_a													NoAmplification																	
0	43	blaOCH	P3_S5_b													NoAmplification																	
0	44	blaOCH	P4_S9_a													NoAmplification																	
0	45	blaOCH	P4_S9_b													NoAmplification																	
0	46	blaOCH	P8_S2_a													NoAmplification																	
0	47	blaOCH	P8_S2_b													NoAmplification																	
0	48	aac(6')I1	B1_manure_a													NoAmplification																	
0	49	aac(6')I1	B1_manure_b													NoAmplification																	
0	50	aac(6')I1	B1_manure_c													NoAmplification																	
0	51	aac(6')I1	B2_manure_a													NoAmplification																	
0	52	aac(6')I1	B2_manure_b													NoAmplification																	
0	53	aac(6')I1	B2_manure_c													NoAmplification																	
0	54	aac(6')I1	P3_S5_a													NoAmplification																	
0	55	aac(6')I1	P3_S5_b													NoAmplification																	
0	56	aac(6')I1	P4_S9_a													NoAmplification																	
0	57	aac(6')I1	P4_S9_b													NoAmplification																	
0	58	aac(6')I1	P8_S2_a													NoAmplification																	
0	59	aac(6')I1	P8_S2_b													NoAmplification																	
0	60	ere(A)	B1_manure_a	-1	33.701	82.35336		0.9999818	515.1354	0.3961096	1.890476	False	False	False	4.469242E-08	CtIsLarge									12	1449.852	1.433175	36.58844	5465.256	-0.1976366	4.769526		
0	61	ere(A)	B1_manure_b													CtIsLarge, CurveFitFailed																	
0	62	ere(A)	B1_manure_c													CtIsLarge, CurveFitFailed																	
0	63	ere(A)	B2_manure_a													CtIsLarge, CurveFitFailed																	
