id,PI,matrix,plot,treatment,day,depth,in_plot_location,block,runoff_sample
Comp-from-P8-7-10-26-17,Jared,water,8,manured_control,0,NA,NA,3,composite
P1-1,Jared,water,1,no_manure_strip,0,NA,NA,1,1
P1-3,Jared,water,1,no_manure_strip,0,NA,NA,1,3
P1-5,Jared,water,1,no_manure_strip,0,NA,NA,1,5
P1-s1-d1-b,Jared,soil,1,no_manure_strip,b,d1,s1,1,NA
P1-s1-d1-t0,Jared,soil,1,no_manure_strip,t0,d1,s1,1,NA
P1-s1-d1-t14,Jared,soil,1,no_manure_strip,t14,d1,s1,1,NA
P1-s1-d1-t2,Jared,soil,1,no_manure_strip,t2,d1,s1,1,NA
P1-s1-d2-t2,Jared,soil,1,no_manure_strip,t2,d2,s1,1,NA
P1-s1-d1-t21,Jared,soil,1,no_manure_strip,t21,d1,s1,1,NA
P1-s1-d1-t42,Jared,soil,1,no_manure_strip,t42,d1,s1,1,NA
P1-s1-d2-b,Jared,soil,1,no_manure_strip,b,d2,s1,1,NA
P1-s1-d2-t0,Jared,soil,1,no_manure_strip,t0,d2,s1,1,NA
P1-s1-d2-t14,Jared,soil,1,no_manure_strip,t14,d2,s1,1,NA
P1-s1-d2-t21,Jared,soil,1,no_manure_strip,t21,d2,s1,1,NA
P1-s1-d2-t42,Jared,soil,1,no_manure_strip,t42,d2,s1,1,NA
P1-s2-d1-b,Jared,soil,1,no_manure_strip,b,d1,s2,1,NA
P1-s2-d1-t0,Jared,soil,1,no_manure_strip,t0,d1,s2,1,NA
P1-s2-d1-t14,Jared,soil,1,no_manure_strip,t14,d1,s2,1,NA
P1-s2-d1-t2,Jared,soil,1,no_manure_strip,t2,d1,s2,1,NA
P1-s2-d2-t2,Jared,soil,1,no_manure_strip,t2,d2,s2,1,NA
P1-s2-d1-t21,Jared,soil,1,no_manure_strip,t21,d1,s2,1,NA
P1-s2-d2-b,Jared,soil,1,no_manure_strip,b,d2,s2,1,NA
P1-s2-d2-t0,Jared,soil,1,no_manure_strip,t0,d2,s2,1,NA
P1-s2-d2-t14,Jared,soil,1,no_manure_strip,t14,d2,s2,1,NA
P1-s2-d2-t21,Jared,soil,1,no_manure_strip,t21,d2,s2,1,NA
P1-s2-d2-t42,Jared,soil,1,no_manure_strip,t42,d2,s2,1,NA
P1-s3-d1-b,Jared,soil,1,no_manure_strip,b,d1,s3,1,NA
P1-s3-d1-t0,Jared,soil,1,no_manure_strip,t0,d1,s3,1,NA
P1-s3-d1-t14,Jared,soil,1,no_manure_strip,t14,d1,s3,1,NA
P1-s3-d1-t2,Jared,soil,1,no_manure_strip,t2,d1,s3,1,NA
P1-s3-d2-t2,Jared,soil,1,no_manure_strip,t2,d2,s3,1,NA
P1-s3-d1-t21,Jared,soil,1,no_manure_strip,t21,d1,s3,1,NA
P1-s3-d1-t42,Jared,soil,1,no_manure_strip,t42,d1,s3,1,NA
P1-s3-d2-b,Jared,soil,1,no_manure_strip,b,d2,s3,1,NA
P1-s3-d2-t0,Jared,soil,1,no_manure_strip,t0,d2,s3,1,NA
P1-s3-d2-t14,Jared,soil,1,no_manure_strip,t14,d2,s3,1,NA
P1-s3-d2-t21,Jared,soil,1,no_manure_strip,t21,d2,s3,1,NA
P1-s3-d2-t42,Jared,soil,1,no_manure_strip,t42,d2,s3,1,NA
P1-s4-d1-b,Jared,soil,1,no_manure_strip,b,d1,s4,1,NA
P1-s4-d1-t0,Jared,soil,1,no_manure_strip,t0,d1,s4,1,NA
P1-s4-d1-t14,Jared,soil,1,no_manure_strip,t14,d1,s4,1,NA
P1-s4-d1-t2,Jared,soil,1,no_manure_strip,t2,d1,s4,1,NA
P1-s4-d2-t2,Jared,soil,1,no_manure_strip,t2,d2,s4,1,NA
P1-s4-d1-t21,Jared,soil,1,no_manure_strip,t21,d1,s4,1,NA
P1-s4-d1-t42,Jared,soil,1,no_manure_strip,t42,d1,s4,1,NA
P1-s4-d2-b,Jared,soil,1,no_manure_strip,b,d2,s4,1,NA
P1-s4-d2-t0,Jared,soil,1,no_manure_strip,t0,d2,s4,1,NA
P1-s4-d2-t14,Jared,soil,1,no_manure_strip,t14,d2,s4,1,NA
P1-s4-d2-t21,Jared,soil,1,no_manure_strip,t21,d2,s4,1,NA
P1-s4-d2-t42,Jared,soil,1,no_manure_strip,t42,d2,s4,1,NA
P1-s5-d1-b,Jared,soil,1,no_manure_strip,b,d1,s5,1,NA
P1-s5-d1-t0,Jared,soil,1,no_manure_strip,t0,d1,s5,1,NA
P1-s5-d1-t14,Jared,soil,1,no_manure_strip,t14,d1,s5,1,NA
P1-s5-d1-t2,Jared,soil,1,no_manure_strip,t2,d1,s5,1,NA
P1-s5-d1-t21,Jared,soil,1,no_manure_strip,t21,d1,s5,1,NA
P1-s5-d1-t42,Jared,soil,1,no_manure_strip,t42,d1,s5,1,NA
P1-s5-d2-b,Jared,soil,1,no_manure_strip,b,d2,s5,1,NA
P1-s5-d2-t0,Jared,soil,1,no_manure_strip,t0,d2,s5,1,NA
P1-s5-d2-t14,Jared,soil,1,no_manure_strip,t14,d2,s5,1,NA
P1-s5-d2-t2,Jared,soil,1,no_manure_strip,t2,d2,s5,1,NA
P1-s5-d2-t21,Jared,soil,1,no_manure_strip,t21,d2,s5,1,NA
P1-s5-d2-t42,Jared,soil,1,no_manure_strip,t42,d2,s5,1,NA
P1-s6-d1-b,Jared,soil,1,no_manure_strip,b,d1,s6,1,NA
P1-s6-d1-t0,Jared,soil,1,no_manure_strip,t0,d1,s6,1,NA
P1-s6-d1-t14,Jared,soil,1,no_manure_strip,t14,d1,s6,1,NA
P1-s6-d1-t2,Jared,soil,1,no_manure_strip,t2,d1,s6,1,NA
P1-s6-d1-t21,Jared,soil,1,no_manure_strip,t21,d1,s6,1,NA
P1-s6-d1-t42,Jared,soil,1,no_manure_strip,t42,d1,s6,1,NA
P1-s6-d2-b,Jared,soil,1,no_manure_strip,b,d2,s6,1,NA
P1-s6-d2-t0,Jared,soil,1,no_manure_strip,t0,d2,s6,1,NA
P1-s6-d2-t14,Jared,soil,1,no_manure_strip,t14,d2,s6,1,NA
P1-s6-d2-t2,Jared,soil,1,no_manure_strip,t2,d2,s6,1,NA
P1-s6-d2-t21,Jared,soil,1,no_manure_strip,t21,d2,s6,1,NA
P1-s6-d2-t42,Jared,soil,1,no_manure_strip,t42,d2,s6,1,NA
P1-s7-d1-b,Jared,soil,1,no_manure_strip,b,d1,s7,1,NA
P1-s7-d1-t0,Jared,soil,1,no_manure_strip,t0,d1,s7,1,NA
P1-s7-d1-t14,Jared,soil,1,no_manure_strip,t14,d1,s7,1,NA
P1-s7-d1-t2,Jared,soil,1,no_manure_strip,t2,d1,s7,1,NA
P1-s7-d1-t42,Jared,soil,1,no_manure_strip,t42,d1,s7,1,NA
P1-s7-d2-b,Jared,soil,1,no_manure_strip,b,d2,s7,1,NA
P1-s7-d2-t0,Jared,soil,1,no_manure_strip,t0,d2,s7,1,NA
P1-s7-d2-t14,Jared,soil,1,no_manure_strip,t14,d2,s7,1,NA
P1-s7-d2-t2,Jared,soil,1,no_manure_strip,t2,d2,s7,1,NA
P1-s7-d2-t21,Jared,soil,1,no_manure_strip,t21,d2,s7,1,NA
P1-s7-d2-t42,Jared,soil,1,no_manure_strip,t42,d2,s7,1,NA
P1-s8-d1-b,Jared,soil,1,no_manure_strip,b,d1,s8,1,NA
P1-s8-d1-t0,Jared,soil,1,no_manure_strip,t0,d1,s8,1,NA
P1-s8-d1-t14,Jared,soil,1,no_manure_strip,t14,d1,s8,1,NA
P1-s8-d1-t2,Jared,soil,1,no_manure_strip,t2,d1,s8,1,NA
P1-s8-d1-t21,Jared,soil,1,no_manure_strip,t21,d1,s8,1,NA
P1-s8-d1-t42,Jared,soil,1,no_manure_strip,t42,d1,s8,1,NA
P1-s8-d2-b,Jared,soil,1,no_manure_strip,b,d2,s8,1,NA
P1-s8-d2-t0,Jared,soil,1,no_manure_strip,t0,d2,s8,1,NA
P1-s8-d2-t14,Jared,soil,1,no_manure_strip,t14,d2,s8,1,NA
P1-s8-d2-t2,Jared,soil,1,no_manure_strip,t2,d2,s8,1,NA
P1-s8-d2-t21,Jared,soil,1,no_manure_strip,t21,d2,s8,1,NA
P1-s8-d2-t42,Jared,soil,1,no_manure_strip,t42,d2,s8,1,NA
